#ID;TITLE;DISCOUNT PRICE;FULL PRICE;STARS
208412438;Призрачный клинок Том 1 Фэнтези Фантастика Издательство Феникс;232;1304;4.7
208412439;Призрачный клинок Том 2 Фэнтези Фантастика Издательство Феникс;232;1304;4.7
179800748;Академия Ранмарн Эксмо;233;359;5.0
47850368;Наследница молний Эксмо;233;359;5.0
112305973;Черный телефон Эксмо;234;360;4.8
168912249;Черное копье Кольцо тьмы Перумов Фэнтези Издательство Феникс;237;3078;4.9
208412437;Источник магии Фэнтези Фантастика Издательство Феникс;238;1216;5.0
155410683;Стреломант Издательство АСТ;240;1192;5.0
12802415;Альвари Издательство АСТ;240;1155;5.0
9516920;Пятый факультет. Академия Сиятельных Издательство АСТ;240;1155;5.0
265261693;Пути океана зов глубин.Молодежное фэнтези Издательство АСТ;242;1242;5.0
91564775;Изоморф. Наблюдатель Издательство АСТ;243;1068;5.0
5841366;Невозможное неумолимо Эксмо;243;374;4.8
2390217;Пуля для императора Издательство АСТ;243;1068;4.9
178686770;Земля мертвых. Боги войны Эксмо;243;374;4.9
18635181;Свалка потерянных душ Эксмо;245;378;5.0
160035078;Черничное королевство Издательство АСТ;245;1106;5.0
206032557;Железный Принц Том 1 Фантастика RealRPG Издательство Феникс;245;1185;5.0
132360096;Его адептка. Светлая для Темного Эксмо;246;379;4.9
140387493;Последняя война Азбука;246;634;4.9
2382425;Бесшабашный. Книга 2. Живые тени Азбука;246;1520;4.9
191980444;Дорога сильных. На пороге мира Издательство АСТ;247;1155;5.0
191517090;Самая большая луна. Испытание чувствами Издательство АСТ;249;1068;5.0
138920840;Золотая клетка Эксмо;250;385;5.0
42484695;Луна костяной волшебницы Эксмо;250;385;4.9
159826157;Рассвет костяной волшебницы Эксмо;250;385;5.0
16072257;Зов Ктулху Издательство АСТ;251;553;4.9
276049695;Эпоха Мертвых-3. Прорыв Эксмо;252;389;5.0
198219050;Черная кровь Книги фантастика Издательство Феникс;253;1361;5.0
208180310;Заклятие Истории о магах Рассказы и повести Фэнтези Издательство Феникс;254;1303;5.0
208180311;Звездный волк Истории о космосе Фантастика Издательство Феникс;254;1303;5.0
137054962;Трио неизвестности Эксмо;255;431;5.0
188500283;Печать Каина Издательство АСТ;255;1155;5.0
254183211;Черный смерч Книги фантастика Издательство Феникс;258;1184;4.9
15940349;Некрономикон. Книга запретных тайн Издательство АСТ;259;571;4.9
3329454;Зов Ктулху Издательство АСТ;259;571;4.9
286709385;Книга фэнтези Волшебная библиотека Брокколи МИФ;259;2191;5.0
152647168;Мерзкая семерка Эксмо;260;400;4.9
43213698;Последний астронавт Эксмо;260;400;4.9
206270431;Дракон из сумрака Эксмо;260;401;4.9
193962062;Год жнеца Эксмо;260;400;5.0
10118038;Война ангелов. Игнис Эксмо;260;400;5.0
172740504;Пламя в тумане Эксмо;260;400;4.9
121058277;Песня чудовищ Эксмо;260;400;4.9
300188488;Требуется муж, или Охота на темного магистра Эксмо;260;400;4.9
140822859;Час Быка Издательство АСТ;262;642;4.9
91253007;Факультет чудовищ. Кронпринц поневоле Издательство АСТ;262;1155;5.0
142507668;Звездный десант Азбука;263;675;4.9
188500281;Дарксфорд Издательство АСТ;266;1106;5.0
146669293;Правосудие королей Эксмо;267;412;4.9
171435818;Звёздные войны Расцвет Республики. Сближение Эксмо;267;412;4.9
161477938;Звёздные войны Расцвет Республики. Тропа обмана Эксмо;267;412;5.0
66525328;Глубина Эксмо;267;412;4.9
149996991;Звёздные войны Траун. Возрождение тьмы Эксмо;268;413;5.0
182998266;Пешка королевы (#2) Эксмо;268;413;5.0
273393929;1984. Романы классика, фэнтези, книги для подростков CLEVER Издательство;268;1560;4.9
200238844;Часы звёзд. Серебряная королева (#2) Эксмо;268;413;5.0
95989944;Коралина Издательство АСТ;269;591;4.9
200253646;Амулет ведьмы Эксмо;269;414;4.8
196216360;Первое правило дворянина Издательство АСТ;270;1155;4.9
164375357;Одиночество мага Ник Перумов Книги фантастика Издательство Феникс;271;3518;4.9
276696175;Опасная луна дракона Издательство АСТ;271;1193;4.8
213936610;Забытые богом Издательство АСТ;271;1193;5.0
152758083;Попаданка в Академии фей. Неудачница Издательство АСТ;271;1193;5.0
175071086;Эпидемия Фантастика Издательство Феникс;272;1530;4.9
175071084;Майская ночь, или Утопленницы Фантастика Издательство Феникс;272;1530;5.0
273347978;Изгои академии Даркстоун Эксмо;276;425;5.0
152196043;Семь грехов Эксмо;278;428;4.9
150296959;Билет в одну сторону Издательство АСТ;278;1155;5.0
200247602;Укради мою любовь Эксмо;279;430;5.0
246138406;Перекрёсток Издательство АСТ;280;1106;4.8
70692205;Звездная пирамида Издательство АСТ;283;1242;5.0
10639927;"Отель ""У погибшего альпиниста"" Издательство АСТ";284;625;5.0
2789267;День триффидов Издательство АСТ;284;625;4.9
13424555;Закон Шухарта Издательство АСТ;284;1367;5.0
175894929;Кровь завоевателя Эксмо;285;438;5.0
178133131;Мир проклятий и демонов (#2) Эксмо;285;439;4.9
6175569;Лабиринт смерти Эксмо;285;439;5.0
180066790;Орден Крона. Армия свободы Эксмо;285;438;5.0
2476202;Война миров. Первые люди на Луне Издательство АСТ;292;642;5.0
12534497;Союз нерушимый Издательство АСТ;293;1155;5.0
17368441;Чужой мир Издательство АСТ;293;1155;4.9
200242296;Ночь масок и ножей (#4) Эксмо;294;454;5.0
189257318;Песнь серебра, пламя, подобное ночи (#1) Эксмо;294;454;4.9
201631423;Амброзия (#2) Эксмо;294;454;4.9
208395527;Королева у власти (#2) Эксмо;294;454;4.9
139760458;Лорд Хаоса (#2) Эксмо;294;454;5.0
2260520;Трудно быть богом Издательство АСТ;294;647;4.9
2374338;Пикник на обочине Издательство АСТ;294;647;5.0
9604441;Волшебник Земноморья Азбука;294;752;4.9
12534373;Межзвездный экспресс Издательство АСТ;294;1329;4.9
31996289;Иржина. Случайное не случайно Эксмо;298;460;5.0
171755788;Элирм. Двадцать первые. книга 1 Издательство АСТ;299;1280;4.9
118841469;Охота на горностая. Зеленый гамбит. Поцелуй Уробороса Эксмо;301;464;5.0
179403372;Тропа до звезд Издательство АСТ;302;1193;4.9
147663057;Странник Издательство АСТ;302;1367;5.0
160891614;Космолетчики. Близкие звезды Издательство АСТ;302;1193;5.0
160891621;Врата на Изнанку Издательство АСТ;302;1193;4.6
166948469;Альтер эво Издательство АСТ;302;1367;5.0
2215834;Пещера Эксмо;305;470;5.0
2167629;Солярис Издательство АСТ;309;679;5.0
28901812;Дракон не спит никогда Азбука;309;1762;4.9
188463205;Ведьмина поляна-2 Эксмо;309;476;5.0
143288387;Экзотеррика Тьмир Эксмо;310;478;4.9
140105649;Наследие великанов. Красная угроза. Порченная кровь Эксмо;311;479;5.0
451304079;Случайная фантастика или фэнтези — букинистический сюрприз Книжный Сюрприз от Книгоеда;311;490;4.4
492433654;Случайный фантастический боевик — букинистический сюрприз Книжный Сюрприз от Книгоеда;311;490;5.0
492455151;Случайная русская фантастика фэнтези — букинистика Книжный Сюрприз от Книгоеда;311;490;3.8
527010464;Случайная фэнтези книга — букинистический сюрприз Книжный Сюрприз от Книгоеда;311;490;3.2
175483006;Университет Специальных Чар. Большие планы маэстрины Эксмо;311;479;5.0
11608719;Кукушка Эксмо;314;483;4.8
189680274;Пепел и перо Эксмо;315;485;5.0
178659867;Элирм. Вне времени. книга 2 Издательство АСТ;316;1280;5.0
189976845;Гиртам. Эволюция Издательство АСТ;316;1280;5.0
221843037;Измена. Наследник для дракона Издательство АСТ;316;1280;4.9
245566294;Аврия. Третий курс Издательство АСТ;317;1192;4.9
228755257;Последний Словотворец. Кровь Первых Издательство АСТ;318;1193;5.0
182819795;Кобра. Аска из клана змей Издательство АСТ;318;1193;4.9
149430108;Воин забвения. Гранитный чертог Издательство АСТ;318;1193;5.0
63773310;Голос монстра (легендарная экранизация) Эксмо;320;493;5.0
75855002;Звёздные войны Расцвет Республики. Начало шторма Эксмо;320;493;5.0
202520917;Разрушительница проклятий Издательство АСТ;320;1329;5.0
196141788;Месть Солнцу-2. Миссия невыполнима Эксмо;320;493;4.9
258355634;Техносфера Фантастика Издательство Феникс;321;764;5.0
144362619;Клан теней (#1) Эксмо;322;496;5.0
8334728;Шестое вымирание Эксмо;322;496;5.0
245553212;Репликант Книга фантастика Издательство Феникс;323;791;5.0
143076661;Латунный город Эксмо;326;501;4.9
9325554;Хозяин Замка Бури Издательство АСТ;330;1155;5.0
12845701;Война Издательство АСТ;330;1155;5.0
25751709;Древний. Час воздаяния Издательство АСТ;331;1541;5.0
184161255;2121 Издательство АСТ;332;981;4.9
12529383;Война миров 2. Гибель человечества Издательство АСТ;332;1503;5.0
172748483;Первый феникс Издательство АСТ;333;1280;4.8
142656247;Дурак космического масштаба Издательство АСТ;333;1192;5.0
258355632;До последнего серва Фантастика Издательство Феникс;340;764;5.0
200604979;Властитель ледяного сердца Издательство АСТ;341;1192;5.0
23453103;Древний. Вторжение Издательство АСТ;341;1541;4.9
51754859;Древний. Предыстория. Книга девятая Издательство АСТ;341;1541;4.9
206007953;Северный дракон Издательство АСТ;341;1192;5.0
171755777;Солдаты третьей мировой Издательство АСТ;341;1192;5.0
152196035;Искушение наставника Эксмо;342;525;4.9
236455350;Золотые яблоки Солнца Эксмо;343;528;4.9
250593463;Охота на гусара Книги фэнтези Издательство Феникс;343;758;4.9
266371990;Наследие драконов.Азиатское фэнтези Издательство АСТ;345;1329;4.8
